"steer","accel","brake","gear","speedX","speedY","speedZ","wheelSpinVel","z","track","trackPos","angle","rpm","damage","distFromStart"
"0.0","0.9999436094777306","0.0","4","80.2254","0.0579372","1.3943","[73.8048, 73.2934, 73.2288, 73.2288]","0.289169","[4.30054, 9.91654, 17.9511, 44.1597, 200.0, 194.969, 187.267, 178.676, 169.702, 149.617, 131.364, 117.088, 101.638, 88.3335, 70.9563, 51.0017, 34.8791, 24.4038, 12.4616]","0.492124","-0.0121959","6163.78","0.0","20.6788"
"0.0","0.9999436094777306","0.0","4","80.7186","0.0382248","1.42232","[74.2079, 73.78, 73.6766, 73.6766]","0.289624","[4.29717, 9.93561, 17.9037, 43.152, 200.0, 195.459, 187.986, 179.816, 171.787, 154.271, 134.881, 119.829, 103.65, 89.8076, 71.8549, 51.4124, 35.0296, 24.4483, 12.4562]","0.493118","-0.0110219","6201.54","0.0","21.1803"
"0.0","0.9999436094777306","0.0","4","81.2179","0.0226505","1.4405","[74.6218, 74.2684, 74.1436, 74.1436]","0.289794","[4.29655, 9.97087, 17.8958, 42.4408, 200.0, 195.748, 188.452, 180.587, 173.133, 158.29, 137.886, 122.15, 105.333, 91.0281, 72.5845, 51.7342, 35.1387, 24.4736, 12.4456]","0.493986","-0.00946599","6240.94","0.0","21.6849"
"0.0","0.9999436094777306","0.0","4","81.7225","0.0137318","1.44856","[75.0496, 74.7551, 74.6343, 74.6343]","0.289516","[4.29858, 10.021, 17.919, 41.9476, 200.0, 195.881, 188.724, 181.088, 174.025, 161.735, 140.433, 124.098, 106.731, 92.0293, 73.1708, 51.9811, 35.2135, 24.4831, 12.4303]","0.494708","-0.00759648","6282.34","0.0","22.1928"
"0.0","0.9999436094777306","0.0","4","82.2322","0.0059714","1.44865","[75.4892, 75.2432, 75.1437, 75.1437]","0.289203","[4.30322, 10.0827, 17.966, 41.6167, 200.0, 195.891, 188.846, 181.39, 174.609, 164.003, 142.586, 125.729, 107.887, 92.8462, 73.6375, 52.1669, 35.2605, 24.4799, 12.4108]","0.49526","-0.00547236","6325.27","0.0","22.7037"
"0.0","0.9999436094777306","0.0","4","82.756","0.00200002","1.46716","[75.9446, 75.7386, 75.535, 75.535]","0.288869","[4.31055, 10.1499, 18.0327, 41.4124, 200.0, 195.801, 188.849, 181.535, 174.968, 165.258, 144.386, 127.079, 108.831, 93.5031, 74.0014, 52.3003, 35.2839, 24.4658, 12.3875]","0.495618","-0.00313312","6357.9","0.0","23.2179"
"0.0","0.9999436094777306","0.0","4","83.2762","0.00206107","1.4979","[76.4095, 76.2352, 76.0322, 76.0322]","0.288651","[4.32043, 10.2211, 18.1145, 41.3032, 200.0, 195.633, 188.757, 181.559, 175.16, 166.033, 145.89, 128.195, 109.599, 94.0285, 74.2817, 52.3915, 35.2885, 24.4432, 12.3608]","0.495776","-0.000617996","6400.11","0.0","23.7354"
"0.0","0.9999436094777306","0.0","4","83.798","-0.00162533","1.52545","[76.8757, 76.7298, 76.5882, 76.5882]","0.288558","[4.33302, 10.2959, 18.2095, 41.2742, 200.0, 195.397, 188.586, 181.484, 175.217, 166.503, 147.123, 129.098, 110.209, 94.4356, 74.487, 52.4455, 35.2764, 24.413, 12.3317]","0.495715","0.0020525","6447.11","0.0","24.2561"
"0.0","0.9999436094777306","0.0","4","84.3245","-0.0025683","1.54311","[77.3487, 77.2213, 77.1676, 77.1676]","0.28854","[4.34835, 10.3733, 18.314, 41.3014, 200.0, 195.112, 188.356, 181.337, 175.181, 166.781, 148.156, 129.844, 110.703, 94.7562, 74.638, 52.472, 35.2522, 24.3774, 12.3017]","0.495415","0.00484036","6495.8","0.0","24.7801"
"0.0","0.9999436094777306","0.0","3","84.8584","-0.00645307","1.55565","[77.8281, 77.7186, 77.7257, 77.7257]","0.28855","[4.36643, 10.453, 18.4263, 41.3739, 200.0, 194.785, 188.079, 181.13, 175.068, 166.916, 149.015, 130.455, 111.097, 95.0026, 74.742, 52.4755, 35.2178, 24.337, 12.2709]","0.494865","0.00773044","6542.67","0.0","25.3074"
